cell_surface_area	dendrite_type	rheobase	input_resistance	tau
497.4933638	spiny	129.9999969	66.745424	50.04903086
803.4637689	aspiny	210.0000035	126.09972	7.177321095
294.4964265	spiny	129.9999969	310.08192	14.05518688
590.9891321	aspiny	69.99999885	208.22856	18.5390718
886.0709827	aspiny	289.9999962	139.217248	5.725947149
441.7759443	spiny	129.9999969	117.16936	36.31621636
350.7683563	spiny	50.00000067	234.6812	28.72073714
985.898455	spiny	190.0000018	70.14132	20.75040395
631.9014221	spiny	69.99999885	109.751536	26.88576034
582.2316962	aspiny	149.9999985	122.644168	13.25891545
333.9908726	aspiny	9.99999996	464.684576	14.38734866
1079.026102	spiny	329.9999995	41.254088	15.36173657
435.7317665	sparsely spiny	29.99999901	477.932544	16.5357428
673.6306836	spiny	59.99999803	107.089224	50.02505475
694.8461031	aspiny	190.0000018	194.528224	5.698773624
800.1111762	spiny	69.99999885	143.36952	31.52130673
476.0492294	aspiny	50.00000067	251.145504	12.68101335
805.857019	spiny	190.0000018	112.955824	28.14300725
370.5591233	spiny	39.99999984	230.627856	24.43024877
588.1486906	aspiny	129.9999969	183.758752	9.942465948
497.4933638	sparsely spiny	39.99999984	245.165728	20.23673834
325.6731351	spiny	69.99999885	218.533328	31.22127509
642.5680491	aspiny	50.00000067	297.887264	13.63086658
1048.411747	spiny	170.0000002	56.290028	33.51071102
433.9724157	spiny	90.00000051	123.418208	30.59839239
686.3130353	aspiny	90.00000051	217.911984	26.43887298
629.0708805	aspiny	90.00000051	115.970464	10.83216891
577.3492717	spiny	129.9999969	81.01364	24.07637605
632.1866084	spiny	50.00000067	145.581088	38.34784248
457.0306367	aspiny	19.99999992	1099.83424	16.12957033
1116.918213	spiny	210.0000035	68.311752	33.9352316
519.668465	aspiny	79.99999968	229.103968	8.643527681
805.857019	spiny	230.0000052	62.743816	20.47440972
900.5863339	sparsely spiny	69.99999885	149.266464	27.54839058
686.1644546	spiny	180.000001	71.919672	25.83973304
666.8028316	aspiny	29.99999901	323.304	30.74795028
1422.419869	spiny	170.0000002	126.771912	26.31928831
913.4402517	spiny	90.00000051	126.59832	34.72756058
925.0909657	aspiny	210.0000035	104.87456	9.448898855
595.0291272	aspiny	110.0000022	174.323424	9.373736286
710.8790037	spiny	69.99999885	156.724832	35.70905556
635.0420095	spiny	149.9999985	142.888656	19.93997757
1144.117116	spiny	289.9999962	48.432036	27.61147393
694.8461031	spiny	119.9999961	96.295632	30.03219456
621.9073948	spiny	50.00000067	191.37712	37.39120248
252.6288571	spiny	469.9999834	88.4942	12.75384148
460.1734794	aspiny	110.0000022	171.016448	8.899049566
1330.113375	spiny	170.0000002	105.578256	68.67100988
760.465889	spiny	230.0000052	80.001152	22.95008562
829.0459659	spiny	129.9999969	135.570304	20.62660426
941.5085977	spiny	129.9999969	93.463704	19.75431101
488.5988395	spiny	249.9999929	73.672832	20.51236796
307.6338612	aspiny	9.99999996	735.866752	17.97474254
2028.553886	spiny	309.9999979	103.684656	25.13117241
1037.672909	spiny	90.00000051	79.658696	31.65371136
1320.099751	spiny	149.9999985	52.077624	43.27994567
497.4933638	spiny	170.0000002	97.87244	17.84769881
410.3756066	spiny	50.00000067	261.532848	24.49528295
340.3045445	spiny	29.99999901	313.490688	52.54800697
576.5829298	aspiny	50.00000067	199.114304	46.40749688
354.8833745	aspiny	69.99999885	303.065856	10.6623204
760.8374083	spiny	159.9999994	76.837176	24.65748355
931.7229242	spiny	69.99999885	204.511152	29.64138451
461.9698707	spiny	90.00000051	111.166232	48.68296294
321.5790247	sparsely spiny	19.99999992	598.925248	13.89687216
1184.223323	spiny	69.99999885	102.640416	54.01760644
695.4629673	spiny	350.0000012	40.538012	18.91890153
900.9906304	aspiny	39.99999984	235.850144	17.69620643
542.7233914	spiny	29.99999901	152.173744	45.04533573
630.245051	spiny	50.00000067	178.22208	38.92950852
981.8510562	spiny	100.0000013	120.660584	23.4035465
1451.282748	spiny	100.0000013	54.873168	30.1809184
511.1538737	spiny	230.0000052	71.241976	21.49133282
509.0722067	aspiny	29.99999901	271.45216	19.28634628
603.3593642	spiny	39.99999984	88.066336	35.58030374
720.8758319	aspiny	269.9999946	63.210744	7.424675384
380.2156537	sparsely spiny	9.99999996	708.685568	20.78979509
760.465889	spiny	350.0000012	42.461108	20.49432573
277.4612058	spiny	50.00000067	383.577888	17.67560115
424.5421864	spiny	69.99999885	172.540096	20.13730273
360.5823901	spiny	50.00000067	300.66304	32.28820332
2023.511743	spiny	220.0000043	52.75844	25.94219722
807.0449081	aspiny	249.9999929	117.895176	5.483142019
981.5844873	spiny	210.0000035	59.129708	18.73558755
726.4640327	spiny	129.9999969	113.736992	27.62398728
572.4874047	spiny	329.9999995	57.130152	19.46390318
871.5270423	spiny	210.0000035	67.98776	20.44816662
880.2347574	spiny	230.0000052	50.913988	28.65873702
444.701506	spiny	90.00000051	228.68704	27.84191977
925.0909657	spiny	90.00000051	109.921224	43.29955958
632.1866084	spiny	319.9999987	51.639332	24.3321309
359.0223898	sparsely spiny	39.99999984	513.152448	15.95061757
1335.88575	spiny	149.9999985	53.611232	38.12352112
679.0884454	spiny	350.0000012	57.31082	17.48385014
1196.968718	aspiny	450.0000095	63.738688	7.02576738
322.4568821	aspiny	19.99999992	340.759328	49.41711371
487.1111792	spiny	50.00000067	240.300512	26.23187128
315.7572213	aspiny	59.99999803	197.94712	26.542198
449.6039087	sparsely spiny	50.00000067	243.19608	15.7180027
444.5669575	spiny	190.0000018	94.666448	25.94295426
914.6834795	spiny	129.9999969	75.62576	32.48537052
663.0550354	aspiny	50.00000067	204.1356	31.68937138
611.9579526	spiny	269.9999946	33.938696	20.13926726
600.1592626	spiny	299.9999971	46.63342	24.74748337
628.5908535	spiny	69.99999885	147.88936	37.42449136
843.1089817	spiny	329.9999995	46.646864	28.52644068
427.0292044	spiny	309.9999979	56.007384	19.74212405
1391.994655	aspiny	119.9999961	159.02096	7.91952598
554.7306788	aspiny	129.9999969	243.750928	7.073252622
591.5925296	spiny	170.0000002	84.811792	32.05750148
592.058218	spiny	259.9999938	79.530488	27.26433273
663.2558685	spiny	69.99999885	127.043168	27.17820023
474.7507242	spiny	329.9999995	54.985648	18.32532899
544.7072092	spiny	29.99999901	287.634368	39.12113514
411.1515403	spiny	50.00000067	420.07072	32.4158871
1307.046328	spiny	139.9999977	55.91976	36.25139418
927.3133797	spiny	110.0000022	73.158304	25.77226285
730.6741338	aspiny	19.99999992	743.157504	20.3703427
533.0877372	spiny	180.000001	91.016552	17.83517278
925.0909657	spiny	450.0000095	41.800588	18.25299122
1045.842224	spiny	149.9999985	56.843276	31.94618168
715.5367682	sparsely spiny	100.0000013	145.889152	23.73782488
506.5638557	spiny	309.9999979	91.224	14.6128589
843.3560345	spiny	119.9999961	102.322696	31.18919428
883.3927743	aspiny	50.00000067	183.119712	20.12205547
412.6623982	spiny	149.9999985	145.055344	17.86012693
932.3289721	spiny	50.00000067	69.033352	22.30663982
370.2316477	spiny	29.99999901	289.055712	26.88481612
983.4734635	spiny	69.99999885	152.465888	33.53862116
1095.366515	spiny	309.9999979	48.636712	17.34184026
939.7038483	aspiny	129.9999969	188.342384	7.669349323
582.2316962	spiny	29.99999901	363.163008	33.62515301
480.9033222	spiny	309.9999979	71.584536	16.66869757
534.1195118	spiny	170.0000002	81.998816	20.15550143
592.058218	spiny	200.0000027	63.460724	21.92673317
447.7867375	spiny	289.9999962	54.894264	20.49503375
539.9191782	spiny	59.99999803	167.395488	28.29706094
169.4581717	sparsely spiny	69.99999885	164.83776	18.8616471
757.5750547	spiny	29.99999901	249.487296	13.08949444
363.293501	spiny	110.0000022	80.439304	22.67351925
634.4346984	aspiny	39.99999984	199.320128	38.32571751
364.2671153	spiny	29.99999901	182.695952	23.48675008
479.5671566	aspiny	100.0000013	199.603296	11.01655173
633.0782301	aspiny	19.99999992	236.77424	24.28506415
864.4461135	spiny	529.9999883	41.922672	17.06165283
829.0459659	spiny	499.9999859	34.703652	19.1544716
481.4165304	spiny	69.99999885	110.580048	21.00580566
619.222842	spiny	299.9999971	42.488696	19.42877193
291.8984947	spiny	190.0000018	109.5276	16.63852943
744.9246544	spiny	110.0000022	270.369856	28.58908219
545.7004752	spiny	420.000007	67.182432	12.26458762
1080.750177	spiny	210.0000035	79.442976	35.67831371
1265.776805	spiny	509.9999867	28.882844	17.05098431
286.4851025	spiny	50.00000067	185.931792	23.237702
1094.873812	aspiny	170.0000002	133.767984	12.55602131
912.7975346	spiny	230.0000052	72.665088	14.59064926
